,DFAT_LAB_NO,SPECIES,RESULT,DATE_SUBMITTED,DATE_EXAMINED,PROVINCE,MUNICIPALITY,BARANGAY,X,
9,00067-21,dog,positive,2021-04-13,4/14/2021,Oriental Mindoro,Baco,Malapad,NA,
12,00002-22,dog,positive,2022-01-14,1/14/2022,Oriental Mindoro,Baco,Mayabig,NA,
14,00006-22,dog,positive,2022-02-09,02/10/2022,Oriental Mindoro,Baco,Mangangan I,NA,
15,00007-22,dog,positive,2022-02-16,2/16/2022,Oriental Mindoro,Baco,Mangangan II,NA,
18,00011-22,dog,positive,2022-03-07,03/07/2022,Oriental Mindoro,Baco,Tagumpay,NA,
24,NA,dog,positive,2022-07-26,07/26/2022,Oriental Mindoro,Baco,n.a.,NA,
25,NA,dog,positive,2022-08-11,08/22/2022,Oriental Mindoro,Baco,Poblacion,NA,
13,00005-22,dog,positive,2022-02-09,02/09/2022,Oriental Mindoro,Bongabong,Anilao,NA,
20,NA,dog,positive,2022-04-28,04/28/2022,Oriental Mindoro,Bongabong,Polusahi,NA,
4,00057-20,dog,positive,2021-01-26,1/26/2021,Oriental Mindoro,Calapan City,Sapul,NA,
10,00070-21,dog,positive,2021-04-22,4/26/2021,Oriental Mindoro,Calapan City,Salong,NA,
21,00017-22,dog,positive,2022-05-07,05/10/2022,Oriental Mindoro,Gloria,Narra,NA,
2,00051-20,dog,positive,2020-04-01,04/03/2020,Oriental Mindoro,Mansalay,B. Del Mundo,NA,
19,00013-22,dog,positive,2022-04-21,4/22/2022,Oriental Mindoro,Mansalay,Santa Teresita,NA,
22,NA,dog,positive,2022-05-18,05/18/2022,Oriental Mindoro,Mansalay,Don Pedro,NA,
28,0040-22,dog,positive,2022-12-02,12/05/2022,Oriental Mindoro,Mansalay,Balugo,NA,
1,00047-20,dog,positive,2020-02-10,02/10/2020,Oriental Mindoro,Naujan,Malinao,NA,
3,00056-20,dog,positive,2020-09-25,9/28/2020,Oriental Mindoro,Naujan,Del Pilar,NA,
23,NA,dog,positive,2022-05-30,05/30/2022,Oriental Mindoro,Pinamalayan,Calingag,NA,
26,0031-22,dog,positive,2022-08-17,8/18/2022,Oriental Mindoro,Pola,Pula,NA,
6,00060-21,dog,positive,2021-03-05,03/05/2021,Oriental Mindoro,Puerto Galera,Tabinay,NA,
7,00061-21,dog,positive,2021-03-10,03/11/2021,Oriental Mindoro,Puerto Galera,Dulangan,NA,
8,00066-21,dog,positive,2021-03-28,04/12/2021,Oriental Mindoro,Puerto Galera,Santo Nino,NA,
11,00001-22,dog,positive,2022-01-05,01/07/2022,Oriental Mindoro,Puerto Galera,San Isidro,NA,
16,00008-22,dog,positive,2022-02-17,2/17/2022,Oriental Mindoro,Roxas,San Mariano,NA,
17,00010-22,dog,positive,2022-03-02,03/02/2022,Oriental Mindoro,Roxas,Libertad,NA,
27,0035-22,dog,positive,2022-10-24,10/28/2022,Oriental Mindoro,Roxas,Bagumbayan,NA,
5,00058-20,dog,positive,2021-02-09,02/09/2021,Oriental Mindoro,Victoria,San Narciso,NA,
